Iteration,Baseline_Accuracy,Method,Prune_Ratio,Accuracy_After_Pruning,Accuracy_After_Finetuning
561,97.96,Random,0.3,97.57,97.86
562,97.96,Random,0.3,97.61,97.87
563,97.96,Random,0.3,97.02,97.87
564,97.96,Random,0.3,97.39,97.89
565,97.96,Random,0.3,97.4,97.97
566,97.96,Random,0.3,97.55,97.97
567,97.96,Random,0.3,97.68,98.01
568,97.96,Random,0.3,97.4,97.89
569,97.96,Random,0.3,97.6,98.0
570,97.96,Random,0.3,97.49,98.02
571,97.96,Random,0.3,97.64,98.05
572,97.96,Random,0.3,97.35,97.99
573,97.96,Random,0.3,97.39,98.0
574,97.96,Random,0.3,97.34,97.96
575,97.96,Random,0.3,97.35,97.92
576,97.96,Random,0.3,97.13,97.83
577,97.96,Random,0.3,97.48,97.91
578,97.96,Random,0.3,97.59,98.13
579,97.96,Random,0.3,97.42,97.89
580,97.96,Random,0.3,97.61,97.96
581,97.96,Random,0.3,97.29,97.88
582,97.96,Random,0.3,97.61,98.0
583,97.96,Random,0.3,97.41,97.94
584,97.96,Random,0.3,97.15,97.99
585,97.96,Random,0.3,97.63,98.06
586,97.96,Random,0.3,97.45,97.99
587,97.96,Random,0.3,97.5,97.94
588,97.96,Random,0.3,97.3,97.92
589,97.96,Random,0.3,97.37,97.94
590,97.96,Random,0.3,97.53,97.93
591,97.96,Random,0.3,97.14,97.94
592,97.96,Random,0.3,97.42,97.9
593,97.96,Random,0.3,97.54,97.96
594,97.96,Random,0.3,97.22,97.87
595,97.96,Random,0.3,97.5,97.99
596,97.96,Random,0.3,97.51,97.88
597,97.96,Random,0.3,97.39,97.85
598,97.96,Random,0.3,97.72,97.84
599,97.96,Random,0.3,97.4,97.91
600,97.96,Random,0.3,97.37,97.95
601,97.96,Random,0.3,97.7,97.98
602,97.96,Random,0.3,97.45,98.05
603,97.96,Random,0.3,97.5,98.01
604,97.96,Random,0.3,97.5,97.86
605,97.96,Random,0.3,97.43,97.96
606,97.96,Random,0.3,97.25,97.93
607,97.96,Random,0.3,97.36,98.05
608,97.96,Random,0.3,97.38,98.11
609,97.96,Random,0.3,97.37,97.9
610,97.96,Random,0.3,97.29,97.94
611,97.96,Random,0.3,97.32,98.01
612,97.96,Random,0.3,97.61,97.92
613,97.96,Random,0.3,97.25,97.93
614,97.96,Random,0.3,97.49,98.01
615,97.96,Random,0.3,97.63,97.96
616,97.96,Random,0.3,97.19,97.76
617,97.96,Random,0.3,97.48,97.9
618,97.96,Random,0.3,97.43,98.03
619,97.96,Random,0.3,97.47,97.98
620,97.96,Random,0.3,97.43,97.91
621,97.96,Random,0.3,96.95,98.01
622,97.96,Random,0.3,97.51,97.95
623,97.96,Random,0.3,97.56,98.0
624,97.96,Random,0.3,97.53,97.91
625,97.96,Random,0.3,97.33,97.93
626,97.96,Random,0.3,97.11,97.99
627,97.96,Random,0.3,97.34,98.05
628,97.96,Random,0.3,97.2,97.86
629,97.96,Random,0.3,97.34,97.68
630,97.96,Random,0.3,97.56,97.94
631,97.96,Random,0.3,97.32,97.75
632,97.96,Random,0.3,97.45,97.9
633,97.96,Random,0.3,97.71,97.95
634,97.96,Random,0.3,97.33,97.95
635,97.96,Random,0.3,97.43,97.96
636,97.96,Random,0.3,97.63,97.88
637,97.96,Random,0.3,97.48,97.86
638,97.96,Random,0.3,97.54,98.0
639,97.96,Random,0.3,97.54,97.97
640,97.96,Random,0.3,97.47,97.95
641,97.96,Random,0.3,97.54,97.9
642,97.96,Random,0.3,97.7,97.94
643,97.96,Random,0.3,97.54,97.95
644,97.96,Random,0.3,97.64,98.17
645,97.96,Random,0.3,97.55,98.04
646,97.96,Random,0.3,97.43,97.73
647,97.96,Random,0.3,97.61,97.9
648,97.96,Random,0.3,97.33,98.06
649,97.96,Random,0.3,97.53,97.94
650,97.96,Random,0.3,97.49,98.04
