Iteration,Method,Prune_Ratio,Baseline_Candidate_Acc,Accuracy_After_Finetuning,Training_Time_sec,Compression_Rate,Params,Baseline_Accuracy,Baseline_FLOPs
32,Random,0.2,88.35,89.11,65.22841691970825,1.2548862445280227,162190.0,88.71,203264.0
8,Random,0.2,88.35,89.21,68.7675564289093,1.2548862445280227,162190.0,88.71,203264.0
77,Random,0.2,88.35,88.47,69.0087456703186,1.2548862445280227,162190.0,88.71,203264.0
260,Random,0.2,88.35,88.71,77.87217378616333,1.2548862445280227,162190.0,88.71,203264.0
78,Random,0.2,88.35,88.74,72.3548595905304,1.2548862445280227,162190.0,88.71,203264.0
134,Random,0.2,88.35,89.02,71.0602195262909,1.2548862445280227,162190.0,88.71,203264.0
141,Random,0.2,88.35,89.1,73.64374947547913,1.2548862445280227,162190.0,88.71,203264.0
719,Random,0.2,88.35,88.86,79.10015320777893,1.2548862445280227,162190.0,88.71,203264.0
743,Random,0.2,88.35,89.14,75.61594772338867,1.2548862445280227,162190.0,88.71,203264.0
798,Random,0.2,88.35,88.64,75.88078570365906,1.2548862445280227,162190.0,88.71,203264.0
850,Random,0.2,88.35,88.71,83.05144500732422,1.2548862445280227,162190.0,88.71,203264.0
498,Random,0.2,88.3,88.41,81.89559626579285,1.2548862445280227,162190.0,88.71,203264.0
288,Random,0.2,88.3,88.51,74.32200455665588,1.2548862445280227,162190.0,88.71,203264.0
328,Random,0.2,88.3,88.79,76.38491797447205,1.2548862445280227,162190.0,88.71,203264.0
345,Random,0.2,88.3,89.42,77.73208928108215,1.2548862445280227,162190.0,88.71,203264.0
330,Random,0.2,88.3,88.79,78.9955723285675,1.2548862445280227,162190.0,88.71,203264.0
360,Random,0.2,88.3,88.43,77.064453125,1.2548862445280227,162190.0,88.71,203264.0
414,Random,0.2,88.3,88.5,81.15864300727844,1.2548862445280227,162190.0,88.71,203264.0
604,Random,0.2,88.3,88.5,75.11212992668152,1.2548862445280227,162190.0,88.71,203264.0
