Iteration,Method,Prune_Ratio,Baseline_Candidate_Acc,Accuracy_After_Finetuning,Training_Time_sec,Compression_Rate,Params,Baseline_Accuracy,Baseline_FLOPs,Pruned_FLOPs
456,Random,0.2,96.25,98.02,39.57581424713135,1.2548862445280227,162190.0,97.89,203264.0,
265,Random,0.2,96.25,98.08,39.83973455429077,1.2548862445280227,162190.0,97.89,203264.0,
257,Random,0.2,96.25,97.8,39.90508031845093,1.2548862445280227,162190.0,97.89,203264.0,
332,Random,0.2,96.25,97.96,39.79038906097412,1.2548862445280227,162190.0,97.89,203264.0,
477,Random,0.2,96.25,98.1,40.77737236022949,1.2548862445280227,162190.0,97.89,203264.0,
336,Random,0.2,96.25,98.18,39.832146406173706,1.2548862445280227,162190.0,97.89,203264.0,
339,Random,0.2,96.25,98.15,40.31471490859985,1.2548862445280227,162190.0,97.89,203264.0,
354,Random,0.2,96.25,97.93,40.95309805870056,1.2548862445280227,162190.0,97.89,203264.0,
508,Random,0.2,96.25,98.05,39.70382761955261,1.2548862445280227,162190.0,97.89,203264.0,
574,Random,0.2,96.25,97.8,39.78388261795044,1.2548862445280227,162190.0,97.89,203264.0,
567,Random,0.2,96.25,97.88,39.86862897872925,1.2548862445280227,162190.0,97.89,203264.0,
520,Random,0.2,96.25,97.9,40.58967399597168,1.2548862445280227,162190.0,97.89,203264.0,
626,Random,0.2,96.25,97.99,39.77888631820679,1.2548862445280227,162190.0,97.89,203264.0,
682,Random,0.2,96.25,97.91,39.90580129623413,1.2548862445280227,162190.0,97.89,203264.0,
684,Random,0.2,96.25,98.02,40.629823207855225,1.2548862445280227,162190.0,97.89,203264.0,
774,Random,0.2,96.25,98.07,40.81348967552185,1.2548862445280227,162190.0,97.89,203264.0,
798,Random,0.2,96.25,98.15,39.557049036026,1.2548862445280227,162190.0,97.89,203264.0,
837,Random,0.2,96.25,98.1,39.85165309906006,1.2548862445280227,162190.0,97.89,203264.0,
863,Random,0.2,96.25,98.04,39.78951144218445,1.2548862445280227,162190.0,97.89,203264.0,
868,Random,0.2,96.25,98.07,39.893099308013916,1.2548862445280227,162190.0,97.89,203264.0,
813,Random,0.2,96.25,97.97,40.73553681373596,1.2548862445280227,162190.0,97.89,203264.0,
869,Random,0.2,96.25,97.95,40.134721755981445,1.2548862445280227,162190.0,97.89,203264.0,
872,Random,0.2,96.25,97.85,41.42317533493042,1.2548862445280227,162190.0,97.89,203264.0,
49,Random,0.2,96.2,97.99,40.04428267478943,1.2548862445280227,162190.0,97.89,203264.0,
53,Random,0.2,96.2,98.15,39.72037053108215,1.2548862445280227,162190.0,97.89,203264.0,
954,Random,0.2,96.2,97.98,39.96429896354675,1.2548862445280227,162190.0,97.89,203264.0,
142,Random,0.2,96.2,97.97,39.843196868896484,1.2548862445280227,162190.0,97.89,203264.0,
989,Random,0.2,96.2,98.07,39.97148323059082,1.2548862445280227,162190.0,97.89,203264.0,
94,Random,0.2,96.2,98.17,40.37467670440674,1.2548862445280227,162190.0,97.89,203264.0,
202,Random,0.2,96.2,98.15,40.05620265007019,1.2548862445280227,162190.0,97.89,203264.0,
218,Random,0.2,96.2,97.84,41.085795402526855,1.2548862445280227,162190.0,97.89,203264.0,
247,Random,0.2,96.2,97.81,40.41290998458862,1.2548862445280227,162190.0,97.89,203264.0,
407,Random,0.2,96.2,97.87,39.68918776512146,1.2548862445280227,162190.0,97.89,203264.0,
408,Random,0.2,96.2,98.06,39.768468618392944,1.2548862445280227,162190.0,97.89,203264.0,
275,Random,0.2,96.2,97.86,39.83605885505676,1.2548862445280227,162190.0,97.89,203264.0,
552,Random,0.2,96.2,98.01,39.803051471710205,1.2548862445280227,162190.0,97.89,203264.0,
417,Random,0.2,96.2,97.93,39.973875284194946,1.2548862445280227,162190.0,97.89,203264.0,
572,Random,0.2,96.2,98.15,40.032050132751465,1.2548862445280227,162190.0,97.89,203264.0,
593,Random,0.2,96.2,98.03,42.44257211685181,1.2548862445280227,162190.0,97.89,203264.0,
612,Random,0.2,96.2,97.92,39.76684546470642,1.2548862445280227,162190.0,97.89,203264.0,
649,Random,0.2,96.2,98.09,39.54054307937622,1.2548862445280227,162190.0,97.89,203264.0,
674,Random,0.2,96.2,97.88,39.764238357543945,1.2548862445280227,162190.0,97.89,203264.0,
747,Random,0.2,96.2,98.02,39.70340371131897,1.2548862445280227,162190.0,97.89,203264.0,
689,Random,0.2,96.2,97.84,39.83057904243469,1.2548862445280227,162190.0,97.89,203264.0,
730,Random,0.2,96.2,98.09,39.94812226295471,1.2548862445280227,162190.0,97.89,203264.0,
754,Random,0.2,96.2,98.05,39.93195033073425,1.2548862445280227,162190.0,97.89,203264.0,
773,Random,0.2,96.2,98.14,41.52176070213318,1.2548862445280227,162190.0,97.89,203264.0,
79,Random,0.2,96.15,97.92,40.15873098373413,1.2548862445280227,162190.0,97.89,203264.0,
892,Random,0.2,96.15,98.08,39.56937646865845,1.2548862445280227,162190.0,97.89,203264.0,
927,Random,0.2,96.15,97.98,39.85825848579407,1.2548862445280227,162190.0,97.89,203264.0,
928,Random,0.2,96.15,98.0,39.77780747413635,1.2548862445280227,162190.0,97.89,203264.0,
948,Random,0.2,96.15,98.14,39.77227330207825,1.2548862445280227,162190.0,97.89,203264.0,
959,Random,0.2,96.15,98.01,39.75989556312561,1.2548862445280227,162190.0,97.89,203264.0,
1000,Random,0.2,96.15,97.99,39.93668007850647,1.2548862445280227,162190.0,97.89,203264.0,
143,Random,0.2,96.15,97.93,41.705241441726685,1.2548862445280227,162190.0,97.89,203264.0,
154,Random,0.2,96.15,98.03,40.06548500061035,1.2548862445280227,162190.0,97.89,203264.0,
174,Random,0.2,96.15,98.02,39.605937004089355,1.2548862445280227,162190.0,97.89,203264.0,
